Year,Round,BS,WS,BS_vs_WS,Seed_Diff,BS_Rev,BS_RankWins,BS_RankGames,BS_RankWinPct,WS_RankWins,WS_RankGames,WS_RankWinPct,BS_ScoMar,WS_ScoMar,ScoMar_Diff,BS_ATRatio,WS_ATRatio,ATRatio_Diff,BS_OppATRatio,WS_OppATRatio,OppATRatio_Diff,BS_ATRatioDiff_Ovr,WS_ATRatioDiff_Ovr,ATRatio_Diff_Ovr,BS_OffEff,WS_OffEff,OffEff_Diff,BS_DefEff,WS_DefEff,DefEff_Diff,BS_EffDiff_Ovr,WS_EffDiff_Ovr,EffDiff_Ovr
2015,3,Oklahoma,Michigan State,1,4,10907532,7,14,0.500,2,8,0.250,8.7,7.5,1.2,1.026,1.462,-0.436,0.838,0.983,-0.145,0.188,0.479,-0.291,1.029,1.07,-0.041,0.903,0.958,-0.055,0.126,0.112,0.014
2015,3,Duke,Utah,0,4,33772145,7,9,0.778,1,5,0.200,15.4,13.6,1.8,1.399,1.204,0.195,0.922,0.76,0.162,0.477,0.444,0.033,1.172,1.104,0.068,0.946,0.893,0.053,0.226,0.211,0.015
2015,3,Gonzaga,UCLA,0,9,12185320,1,2,0.500,1,7,0.143,16,3.8,12.2,1.527,1.158,0.369,0.874,1.142,-0.268,0.653,0.016,0.637,1.161,1.036,0.125,0.922,0.981,-0.059,0.239,0.055,0.184
2015,4,Kentucky,Notre Dame,0,2,24684543,6,6,1.000,6,8,0.750,20.1,12.2,7.9,1.359,1.618,-0.259,0.564,1.099,-0.535,0.795,0.519,0.276,1.124,1.179,-0.055,0.821,0.994,-0.173,0.303,0.185,0.118
2015,4,Wisconsin,Arizona,0,1,21309114,2,4,0.500,4,4,1.000,14.8,16.9,-2.1,1.687,1.26,0.427,0.941,0.707,0.234,0.746,0.553,0.193,1.191,1.124,0.067,0.948,0.875,0.073,0.243,0.249,-0.006
2015,4,Louisville,Michigan State,1,3,45835799,3,9,0.333,2,8,0.250,9.1,7.5,1.6,1.022,1.462,-0.44,0.836,0.983,-0.147,0.186,0.479,-0.293,1.026,1.07,-0.044,0.89,0.958,-0.068,0.136,0.112,0.024
2015,4,Duke,Gonzaga,0,1,33772145,7,9,0.778,1,2,0.500,15.4,16,-0.6,1.399,1.527,-0.128,0.922,0.874,0.048,0.477,0.653,-0.176,1.172,1.161,0.011,0.946,0.922,0.024,0.226,0.239,-0.013
2015,5,Kentucky,Wisconsin,1,0,24684543,6,6,1.000,2,4,0.500,20.1,14.8,5.3,1.359,1.687,-0.328,0.564,0.941,-0.377,0.795,0.746,0.049,1.124,1.191,-0.067,0.821,0.948,-0.127,0.303,0.243,0.06
2015,5,Duke,Michigan State,0,6,33772145,7,9,0.778,2,8,0.250,15.4,7.5,7.9,1.399,1.462,-0.063,0.922,0.983,-0.061,0.477,0.479,-0.002,1.172,1.07,0.102,0.946,0.958,-0.012,0.226,0.112,0.114
2015,6,Wisconsin,Duke,1,0,21309114,2,4,0.500,7,9,0.778,14.8,15.4,-0.6,1.687,1.399,0.288,0.941,0.922,0.019,0.746,0.477,0.269,1.191,1.172,0.019,0.948,0.946,0.002,0.243,0.226,0.017
2016,1,Kansas,Austin Peay,0,15,18020944,11,14,0.786,0,2,0.000,12.6,-3.1,15.7,1.241,0.878,0.363,0.847,1.122,-0.275,0.394,-0.244,0.638,1.12,1.03,0.09,0.943,1.072,-0.129,0.177,-0.042,0.219
2016,1,Colorado,UConn,1,1,8321985,1,6,0.167,1,4,0.250,4.4,9.6,-5.2,0.993,1.254,-0.261,0.961,0.949,0.012,0.032,0.305,-0.273,1.029,1.059,-0.03,0.969,0.92,0.049,0.06,0.139,-0.079
2016,1,Maryland,South Dakota State,0,7,17144695,2,7,0.286,0,0,0.000,8.4,6.7,1.7,1.051,0.96,0.091,1.023,0.941,0.082,0.028,0.019,0.009,1.088,1.08,0.008,0.966,0.985,-0.019,0.122,0.095,0.027
2016,1,California,Hawaii,1,9,8316795,3,6,0.500,0,1,0.000,7.5,10.1,-2.6,1.036,1.201,-0.165,1.122,0.757,0.365,-0.086,0.444,-0.53,1.057,1.052,0.005,0.95,0.913,0.037,0.107,0.139,-0.032
2016,1,Arizona,Wichita State,1,5,21726050,3,6,0.500,1,1,1.000,11.6,13.1,-1.5,1.102,1.432,-0.33,1.062,0.589,0.473,0.04,0.843,-0.803,1.103,1.055,0.048,0.944,0.863,0.081,0.159,0.192,-0.033
2016,1,Miami,Buffalo,0,11,6475314,5,8,0.625,0,2,0.000,7.8,0.4,7.4,1.138,0.906,0.232,0.985,1.027,-0.042,0.153,-0.121,0.274,1.11,1.024,0.086,0.994,1.018,-0.024,0.116,0.006,0.11
2016,1,Iowa,Temple,0,3,9097984,5,9,0.556,3,7,0.429,8.3,1.1,7.2,1.547,1.478,0.069,1.053,1.149,-0.096,0.494,0.329,0.165,1.09,1,0.09,0.973,0.984,-0.011,0.117,0.016,0.101
2016,1,Villanova,UNC Asheville,0,13,11382110,3,7,0.429,0,0,0.000,14.4,4.3,10.1,1.451,0.908,0.543,0.924,0.721,0.203,0.527,0.187,0.34,1.134,1.01,0.124,0.925,0.951,-0.026,0.209,0.059,0.15
2016,1,Oregon,Holy Cross,0,15,8955456,5,5,1.000,0,1,0.000,9.4,-5.1,14.5,1.221,1.253,-0.032,0.913,1.111,-0.198,0.308,0.142,0.166,1.103,0.964,0.139,0.971,1.04,-0.069,0.132,-0.076,0.208
2016,1,Saint Josephs,Cincinnati,0,1,4208092,1,2,0.500,1,4,0.250,7.2,9.9,-2.7,1.487,1.403,0.084,1.107,0.852,0.255,0.38,0.551,-0.171,1.07,1.065,0.005,0.971,0.92,0.051,0.099,0.145,-0.046
2016,1,Baylor,Yale,1,7,8837724,5,14,0.357,0,1,0.000,6.4,10.1,-3.7,1.35,1.119,0.231,1.308,0.954,0.354,0.042,0.165,-0.123,1.102,1.08,0.022,1.01,0.933,0.077,0.092,0.147,-0.055
2016,1,Duke,UNCW,0,9,31033555,3,7,0.429,0,0,0.000,8.6,5.9,2.7,1.362,1.156,0.206,1.225,0.757,0.468,0.137,0.399,-0.262,1.151,1.072,0.079,1.028,0.992,0.036,0.123,0.08,0.043
2016,1,Texas,UNI,1,5,17982782,6,13,0.462,3,3,1.000,3.1,4.3,-1.2,1.106,1.221,-0.115,0.895,1.014,-0.119,0.211,0.207,0.004,1.04,1.041,-0.001,0.995,0.975,0.02,0.045,0.066,-0.021
2016,1,Texas A&M,Green Bay,0,11,9177326,4,6,0.667,0,0,0.000,10,1.8,8.2,1.372,1.14,0.232,0.921,0.878,0.043,0.451,0.262,0.189,1.071,1.038,0.033,0.931,1.016,-0.085,0.14,0.022,0.118
2016,1,Oregon State,VCU,1,3,5834462,1,5,0.200,0,2,0.000,1.1,9.5,-8.4,1.189,1.256,-0.067,1.056,0.854,0.202,0.133,0.402,-0.269,1.024,1.075,-0.051,1.008,0.943,0.065,0.016,0.132,-0.116
2016,1,Oklahoma,CSU Bakersfield,0,13,12030130,8,13,0.615,0,0,0.000,8.6,7.7,0.9,1.114,1.204,-0.09,0.878,0.692,0.186,0.236,0.512,-0.276,1.088,1.02,0.068,0.97,0.91,0.06,0.118,0.11,0.008
2016,1,North Carolina,FGCU,0,15,21342328,5,8,0.625,0,1,0.000,12.8,3,9.8,1.647,1.073,0.574,0.851,1.077,-0.226,0.796,-0.004,0.8,1.153,1.036,0.117,0.976,0.995,-0.019,0.177,0.041,0.136
2016,1,USC,Providence,1,1,4948398,2,6,0.333,4,9,0.444,5.9,3.5,2.4,1.212,1.368,-0.156,1.133,0.906,0.227,0.079,0.462,-0.383,1.068,1.016,0.052,0.99,0.968,0.022,0.078,0.048,0.03
2016,1,Indiana,Chattanooga,0,7,23094923,4,6,0.667,0,1,0.000,12.7,6.7,6,1.191,1.126,0.065,0.924,0.914,0.01,0.267,0.212,0.055,1.169,1.076,0.093,0.989,0.979,0.01,0.18,0.097,0.083
